product_id,title,rating,ratings_count,initial_price,discount,final_price,currency,seller_name,category,price_difference,popularity_score
8376765,Lino Perros,3.8,15,3995,58.0,3995.0,INR,,backpacks,0.0,10.535837144511168
9136281,Tommy Hilfiger,4.5,67,2899,35.0,2899.0,INR,,backpacks,0.0,18.98778467329248
17633752,Lavie,4.4,226,2999,65.0,2999.0,INR,,backpacks,0.0,23.869780076918175
1376949,F Gear,4.4,1052,1675,52.0,1675.0,INR,,backpacks,0.0,30.621353453389496
13939916,MYTRIDENT,4.7,12,2899,17.0,2899.0,INR,,bath-robe,0.0,12.055261980069224
17198778,H&M,4.5,42,1399,,1399.0,INR,H &███Hen███ & █████████eta█████████████████████,bathroom-accessories,0.0,16.925400520621032
19851824,AVI Living,4.0,5,1399,65.0,1399.0,INR,,bath-towels,0.0,7.16703787691222
18602872,My Room,4.7,10,2999,54.0,2999.0,INR,,bedsheets,0.0,11.270107782152342
18602850,My Room,4.5,22,2999,54.0,2999.0,INR,,bedsheets,0.0,14.109723971681174
8961147,Story@home,3.7,7,2199,53.0,2199.0,INR,,bedsheets,0.0,7.693933704215393
8430275,MYTRIDENT,4.4,26,2199,46.0,2199.0,INR,,bedsheets,0.0,14.50168221041905
18346118,Arrabi,0.0,0,3329,74.0,865.0,INR,Sig███Ove███as,bedsheets,2464.0,0.0
18327434,BELLA CASA,0.0,0,1499,73.0,404.0,INR,Bel███Cas███ash█████████ail█████████,bedsheets,1095.0,0.0
18492504,ROMEE,3.9,10,3499,65.0,3499.0,INR,,bedsheets,0.0,9.351791563913645
13729978,DDecor,3.6,15,1599,20.0,1599.0,INR,,bedsheets,0.0,9.981319400063212
19788630,Home Ecstasy,4.5,6,1199,42.0,1199.0,INR,,bedsheets,0.0,8.75659567074891
20296382,DREAM WEAVERZ,3.8,18,2599,78.0,2599.0,INR,,bedsheets,0.0,11.188868120832472
18346134,Arrabi,4.3,12,6329,76.0,6329.0,INR,,bedsheets,0.0,11.029282237084608
22409156,Kastner,3.8,9,1399,84.0,223.0,INR,Kas███r L███her█████████Pvt██████,belts,1176.0,8.749823353377375
18985918,Tommy Hilfiger,4.1,11,2999,40.0,1799.0,INR,PVH███VIN███ASH█████████TE ███████████████,bodysuit,1200.0,10.1881172641308
22120138,Ed-a-Mamma Baby,4.2,5,999,30.0,699.0,INR,ETE███LIA███EAT█████████CHA█████████████████████ED,bodysuit,300.0,7.525389770757831
1728397,Mactree,3.9,1727,9060,88.0,1087.0,INR,MAX███ IN███NAT██████,boots,7973.0,29.0734078025196
21427828,London Rag,5.0,4,9599,60.0,3839.0,INR,VOL███FAS███N P█████████,boots,5760.0,8.047189562170502
17372928,The Souled Store,4.5,22,799,54.0,367.0,INR,THE███ULE███TOR█████████D.,boxers,432.0,14.109723971681174
15115018,Jockey,4.4,1582,579,,579.0,INR,Tru███m R███il,bra,0.0,32.41513906347646
22063882,GROVERSONS Paris Beauty,4.0,25,399,25.0,299.0,INR,Gro███son███ppa█████████Ltd███,bra,100.0,13.032386152085929
19219450,Susie,4.3,12,749,50.0,374.0,INR,GEN███AD ███AIL█████████LIM██████,bra,375.0,11.029282237084608
22196924,Zivame,4.3,118,999,50.0,499.0,INR,MIL███AR ███AIL█████████LIM██████,bra,500.0,20.550231020379577
19219468,Susie,4.0,6,699,43.0,398.0,INR,GEN███AD ███AIL█████████LIM██████,bra,301.0,7.783640596221253
22278620,Tweens,0.0,0,720,16.0,604.0,INR,Bel███Lin███ies█████████.,bra,116.0,0.0
19277544,Marks & Spencer,4.3,24,2999,60.0,2249.0,INR,Ret███Net███,bra,750.0,13.841166046933262
18223842,max,4.1,37,449,20.0,449.0,INR,,bra,0.0,14.91410325487818
18656766,VStar,4.6,5,345,,345.0,INR,V S███ CR███ION█████████,bra,0.0,8.242093558449053
18656764,VStar,4.3,6,345,,345.0,INR,V S███ CR███ION█████████,bra,0.0,8.367413640937846
13523458,shyaway,4.3,6,2547,52.0,2547.0,INR,,bra,0.0,8.367413640937846
18652628,max,4.2,5,649,20.0,649.0,INR,,bra,0.0,7.525389770757831
17774350,Zivame,4.2,9,995,50.0,995.0,INR,,bra,0.0,9.670857390574993
16704504,ZINU,4.1,7,699,45.0,384.0,INR,SAN███UNE███,bracelet,315.0,8.525710320887326
21873792,KARATCART,4.6,5,3397,76.0,815.0,INR,KOK███V G███AL █████████,bracelet,2582.0,8.242093558449053
21573578,Jewels Galaxy,4.2,24,1329,77.0,305.0,INR,RS ███els███,bracelet,1024.0,13.519278464446442
18100576,MINUTIAE,3.2,13,1499,70.0,1499.0,INR,,bracelet,0.0,8.444983454768828
